"Card Title","ID","Owner","Created Date","Updated Date","Images","Card Database (All)","Sets","Stars","Card Type","Planet","Rarities","Card Ability","Banlist?","Power","Health"
"Magsprout","15466eec-dea2-4dcb-8151-e00f2e49d0d6","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:46:19Z,"wix:image://v1/c3c13c_8ce2bbe75dd14decaa4426377acc1d74~mv2.jpg/4%2015%20-%20Magsprout.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",4,"Creature","Sheos","{""IV - Planets United"":""Common""}","When you cost play a 6 star or lower Sheos creature, you can free play this handed creature.",,180,120
"Squiddle","168fb0ac-2e2e-4ed2-ad03-028d60d24704","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-23T20:48:05Z,"wix:image://v1/c3c13c_ca5617aeaba743f9ab5ef17750088f40~mv2.jpg/2%2015%20-%20Squiddle.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",4,"Creature","Palicium","{""II - Deep Space Discoveries"":""Common""}",,,170,230
"Bolide Dustrog","169bea01-754c-4d8f-a6c2-a1acc5d599f7","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-23T20:43:00Z,"wix:image://v1/c3c13c_4177a34eda734b7299f5adf16ffb757b~mv2.jpg/003%20-%20Bolide%20Dustrog.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Rokah""]",2,"Creature","Rokah","{""Base Galaxy: Rokah"":""Common""}","Once per turn, if your opponent reveals 1 handed individual resource or attachment card, you can kill 1 zoned resource or attachment card.",,40,120
"Sheosian Lava Behemoth","1719f00e-2837-4a1f-8604-ad6cb7fe4952","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:47:08Z,"wix:image://v1/c3c13c_f6d6ab843f6348fe809ffcdd06378c6a~mv2.jpg/D2%201%20BehemothcRR.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 2: The Infernos of Sheos"",""Legends of the Cosmos""]",8,"Creature","Sheos","{""Base Galaxy 2: The Infernos of Sheos"":""Really Rare"",""Legends of the Cosmos"":""Rare""}","When this creature attacks and kills an opponent's creature, you must remove 1 empty resource zone from either player's planet or kill this card.",,490,300
"Gigantross","17228291-bbca-4be9-a594-60583d385729","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-23T20:44:57Z,"wix:image://v1/c3c13c_3a267a7591d04931ae148946a384a646~mv2.jpg/2%207%20-%20Gigantross.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",6,"Creature","Gaios","{""II - Deep Space Discoveries"":""Rare""}",,,300,300
"Scale Craft","17ed1e87-bd46-4d14-88a0-57f685af53bf","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-08T15:41:18Z,"wix:image://v1/c3c13c_c7ef0d8f6f594ee8a60cdfd7f15222ae~mv2.jpg/026---Scale-Craft.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Palicium Planetary Collection""]",,"Resource",,"{""Palicium Planetary Collection"":""Common""}","Permanently reveal any number of handed Palifalls cards, add 1 zone of any type to your planet for each.",,,
"Crimson Scleech","18356f92-95c0-4cb9-ade4-56e3752f990d","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-08T15:41:26Z,"wix:image://v1/c3c13c_3e7c75b0735b41f0b3aa919435f79d4d~mv2.jpg/4%2083%20-%20Crimson%20Scleech.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Activator",,"{""IV - Planets United"":""Common""}","When your opponent attaches an attachment card to 1 of their zoned creatures... Kill that attachment card.",,,
"Sabre Flooth","189e4a22-f0e0-4705-80ce-4628b27e2e8f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:47:18Z,"wix:image://v1/c3c13c_a6ceaca8b85b454e8cf38758aeb652c1~mv2.jpg/029%20-Sabre-flooth.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Baro Planetary Collection""]",4,"Creature","Baro","{""Baro Planetary Collection"":""Common""}","After this creature attacks and kills an opponent's creature, you gain 1 point.",,60,260
"Galaxy Rock","18d0b370-3577-4858-b15d-645e2e7db3f6","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:44:30Z,"wix:image://v1/c3c13c_8cc391c2f4284dbfb415d8e71b345df7~mv2.jpg/3%2060%20-%20Galaxy%20Rock.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",6,"Creature","Gaios","{""III - Galactic Divide"":""Ridiculously Rare""}","Once per turn, you can change this card's home planet to any planet of your choice (including No Planet) until the end of your opponent's next turn. You can use this ability whilst this creature is zoned or killed.",,50,350
"Zlock Beast - Head","1a01c465-3e75-4654-801f-b74edaeeedad","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-04-11T02:19:33Z,2022-04-11T02:19:33Z,"wix:image://v1/c3c13c_494f0786752c4a7ba2be8702c5d24498~mv2.jpg/3%2043%20-%20Zlock%20Beast%20head.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Combiner","Baro","{""III - Galactic Divide"":""Common""}","This creature's power becomes 50x the number of zones on your planet at the same time it is played. This creature's health becomes 50x the number of zones on your opponent's planet at the time it is played (this excludes planet zones).",,,
"Skelekrull","1a2378b9-a75a-4c9a-adc0-f711712636dc","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:47:39Z,"wix:image://v1/c3c13c_b066755929dc4fe089c324e5396c9ecc~mv2.jpg/3%2017%20-%20Skelecrull.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",1,"Creature","Sindell","{""III - Galactic Divide"":""Common""}",,,80,40
"Phenominus The Bright","1a2d11a2-6760-46c2-a8da-a7b0892e7cbb","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:46:52Z,"wix:image://v1/c3c13c_80d3a2d2632045e8b17993879c418b81~mv2.jpg/LOC%2079%20-%20Phenominus.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Legends of the Cosmos""]",8,"Creature","Rokah","{""Legends of the Cosmos"":""Limited Edition""}","When you play this creature, its power becomes 100x the number of empty creature zones on either planet.",,,400
"Relohex Dagger","1ae6b3fb-21a5-46ba-abb5-b52f9252b4ad","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-08T15:41:26Z,"wix:image://v1/c3c13c_0cb112e5ed174fe08c9bba7d55b34afb~mv2.jpg/4%2058%20-%20Relohex%20Dagger.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Resource",,"{""IV - Planets United"":""Common""}","Kill 1 of your opponents handed cards of their choice. ",,,
"Galdora’s Box","1b4eb5da-bf5d-49cb-84ca-10f6ffc7d49b","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:48:12Z,"wix:image://v1/06e28e_81ade940a6344eebaa1310a0268735af~mv2.jpg/077-Galdoras-box.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Permanent Resource",,"{""V - Beyond Horizons"":""Rare""}","When this card is played, attach up to 3 of your opponent's killed cards to it.",,,
"Galaxy Patrolman","1c9bc77d-3e28-4d5d-8f72-d0e967722441","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-23T20:44:31Z,"wix:image://v1/c3c13c_c61b546a99094f3b99a517464352978b~mv2.jpg/2%20103%20-%20Galaxy%20Patrolman.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",6,"Creature","No Planet","{""II - Deep Space Discoveries"":""Limited Edition""}","When a creature on your planet is attacked, you can kill 1 creature in your hand which comes from the same planet as that creature to cancel the attack.",,170,340
"Molten Mage","1ca04a24-dca5-4252-9e7b-6d329464cbd6","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:46:15Z,"wix:image://v1/c3c13c_f02f0608f780451f9ad65f7627a1a6a8~mv2.jpg/2%2024%20-%20Molten%20Mage.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",2,"Creature","Sheos","{""II - Deep Space Discoveries"":""Common""}","Increase the health of all creatures on your planet by 50.",,110,50
"Stakron","1cb56738-b9c5-46ae-9a02-14f7ea8f2321","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-11-22T04:25:19Z,"wix:image://v1/c3c13c_6036141615764678a2cfbaf1a54ebb78~mv2.jpg/008%20-%20Stakron.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Teklar"",""V - Beyond Horizons""]",6,"Creature","Teklar","{""Base Galaxy: Teklar"":""Really Rare"",""V - Beyond Horizons"":""Common""}","Once per turn, you can attach 1 of either player's killed combiner cards to this card. This creature gains 100 power and health for each.",,250,200
"Uuraam - King of the Nightjungle","1ce9cc14-a5de-4b7d-8696-359a4d3a842a","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:49:02Z,"wix:image://v1/c3c13c_ea295f433d7d4fda943dfc101808ba7a~mv2.jpg/D3%201%20-%20Uuram.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 3: The Mysteries of Gaios""]",8,"Creature","Gaios","{""Base Galaxy 3: The Mysteries of Gaios"":""Really Rare""}","Depending on the number of your killed nightjungle resources, this creature cannot be killed by the abilities of these card types: 2 or more - activator cards. 4 or more - creature cards. 6 or more - resource cards.",,380,340
"Utopanon Fortress - Stronghold","1d0f6c64-bce9-4005-8f4a-3687c376a661","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-08-03T06:15:07Z,"wix:image://v1/c3c13c_181a3f32d9ed47c58b8e4631a7ed7fa9~mv2.jpg/016%20-%20Utopanon%20Fortress%20-%20Stronghold.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 5: The Justice of Sindian""]",,"Combiner","Sindian","{""Base Galaxy 5: The Justice of Sindian"":""Common""}","This zoned combiner creature also counts as 2 seperate Utopanon Guard creatures. Once per turn, you can shuffle 1 killed Utopanon creature into your galaxy to gain 1 point.",,250,390
"Lumiveron","1da17118-3f49-4d24-8d2f-82835e108779","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-23T20:46:22Z,"wix:image://v1/c3c13c_773de078868844068b91db3f040b8045~mv2.jpg/3%208%20-%20Lumiveron.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",4,"Creature","Rokah","{""III - Galactic Divide"":""Common""}","When you play this card, guess the names of up to 5 cards in your opponent's hand. This card gains 80 power & health for every card guessed correctly.",,,
"Frazzbolt","1dbf98f7-b98b-4a71-8194-e84a29e42cfd","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:44:35Z,"wix:image://v1/c3c13c_f6bb6194fb714c3b9d14ecf2d804d037~mv2.jpg/3%2010%20-%20Frazzbolt.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",1,"Creature","Sheos","{""III - Galactic Divide"":""Common""}","When this galaxied or handed creature is killed, kill 1 resource card on either planet.",,70,10
"Mellorock Valley","1dc63596-ba65-4a95-8d0f-6666749e3bce","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-08T15:41:20Z,"wix:image://v1/c3c13c_6c855d66f150412dbf0c718f43bef7f9~mv2.jpg/024%20-%20Mellorock%20Valley.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Rokah""]",,"Resource",,"{""Base Galaxy: Rokah"":""Rare""}","You can only play this card if your opponent has 3 or more handed cards revealed, conceal them to kill 1 card.",,,
"Kronk","1dcf3195-443b-4f05-8db6-32eeac22907c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:45:57Z,"wix:image://v1/c3c13c_af7252b08e1d413694e753e4827a25bf~mv2.jpg/1%2018%20-%20Kronk.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Baro Planetary Collection""]",3,"Creature","Baro","{""I - The Origin of Chaos"":""Common"",""Baro Planetary Collection"":""Common""}",,,100,190
"Fire Wall","1e77b504-a1f1-4af8-aac5-61dbca3b4146","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_3a49fc288689481781e6aed10fb75b8b~mv2.jpg/2%2087%20-%20Fire%20Wall.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Activator",,"{""II - Deep Space Discoveries"":""Common""}","When you opponent attacks a Sheos creature on your planet...Cancel the attack. Also, your opponent cannot attack any Sheos creatures on your planet for the rest of their turn.",,,
"Nawf","1e8a7210-a4bb-4b90-aceb-5a5d03eabfcd","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-23T20:46:30Z,"wix:image://v1/c3c13c_b8dfb43c581247c5836739a5830f9564~mv2.jpg/4%2031%20-%20Nawf.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",3,"Creature","Gaios","{""IV - Planets United"":""Common""}","Once per game, after you add a galaxied Gaios creature to your hand, you can free play this killed creature.",,160,80
"Creature Conjurer","1ead7832-9597-4b75-803c-63f7c3acc8d6","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-09T23:45:42Z,"wix:image://v1/c3c13c_fcc507c40325401296a92f5a5407dd83~mv2.jpg/1%2051%20-%20Creature%20Conjurer.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",,"Resource",,"{""I - The Origin of Chaos"":""Rare"",""Legends of the Cosmos"":""Common""}","Add 1 creature zone to your planet.",,,
"7 Starred Seagrass","1f7a9743-0635-4cd6-bee6-55afa2c361f3","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:39:38Z,"wix:image://v1/06e28e_b871fb39085c4026bd8c616953b3a7e6~mv2.jpg/071-7-starred-seagrass.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Resource",,"{""V - Beyond Horizons"":""Common""}","Add  1  galaxied,  7  star Palicium creature to your hand.",,,
"Skelepede","1f997e50-9e5d-468b-bdef-8ae8b7607f5a","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-23T20:47:38Z,"wix:image://v1/c3c13c_5db2de728d234023b0a77213a5698a3c~mv2.jpg/008%20-%20Skelepede.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 6: The Corruption of Sindell""]",4,"Creature","Sindell","{""Base Galaxy 6: The Corruption of Sindell"":""Common""}","Once per either player's turn, when a zoned or handed Sindell creature with 80 or less health is killed (except this creature) you gain 1 point.",,250,80
"Card Consuming Cosmic Creator","1fe5b12f-a981-4bc4-9efb-1ad943aec5f9","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_6db8e2ed1126404e8897ac9924c75d29~mv2.jpg/3%2061%20-%20Card%20Consuming%20Cosmic%20Creator.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Resource",,"{""III - Galactic Divide"":""Common""}","Kill one of your handed cards, gain 6 stars.",,,
"Blaze Elixir","2046eaab-f331-428b-a806-be858ef8d0fb","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-09T23:59:02Z,"wix:image://v1/c3c13c_387766ede8334372b25066e6cbb3f954~mv2.jpg/1%2087%20-%20blaze%20elixir.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",,"Attachment",,"{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Really Rare""}","This card can only be attached to a creature with an original power of 300 or less. The attached creature can attack twice per turn.",,,
"Gheezer Dragon","20d16ed7-4c9c-4d49-9ee0-be92e4eb0b5f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-23T20:45:00Z,"wix:image://v1/c3c13c_5677da0a3081459c8bb3e9dfd059d329~mv2.jpg/3%2014%20-%20Gheezer%20Dragon.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",4,"Creature","Sheos","{""III - Galactic Divide"":""Common""}","This creature can also be played as a Combiner card with the creature Steam Rider to become the combiner creature: Boiling Dragon and Steam Rider - Planet: Sindell. Power: 400, Health: 300.",,250,100
"Mystical Relic - Guilded Compass","2146871d-fec4-407f-9eaa-6552d1fe943b","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-08T15:41:34Z,"wix:image://v1/c3c13c_e4c002bc83f74716b8a95786da73ef0f~mv2.jpg/2%2068%20-%20Mystical%20Relic%20Golden%20Compass.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Permanent Resource",,"{""II - Deep Space Discoveries"":""Common""}","Once per turn, you can shuffle 1 random card from your hand into your galaxy, then draw 1 new card.",,,
"The Undying Blue-Flame","214ef62c-af90-4e4a-acbe-bbafbd7cadc5","e6d5323f-c6e3-4cbc-a736-057743ef2f24",2024-02-22T04:08:31Z,2024-02-22T04:42:34Z,"wix:image://v1/e6d532_7288c34fa28448d1b05e4110cfcfb905~mv2.jpg/042%20-%20Undying%20Blue%20Flame.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Sheos Planetary Collection""]",,"Permanent Resource",,,"Once per turn you can free play 1 of your killed Sheos creatures which has 10 health. If this card is still zoned at the end of your turn, kill that creature.",,,
"Big Boulder Dragon","22babd13-9807-4ab8-96e9-8ff1175a87df","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-23T20:43:06Z,"wix:image://v1/c3c13c_24a93ff74a8a472ab7f6d2ebba946625~mv2.jpg/D4%204%20-%20Big%20Boulder%20Dragon.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 4: The Wastelands of Baro""]",6,"Creature","Baro","{""Base Galaxy 4: The Wastelands of Baro"":""Rare""}","All Baro creatures on your planet gain 50 power. Whenever another Boulder Dragon creature is cost played to your planet, you can kill 1 attachment or resource card on your opponent's planet.",,210,320
"Feathammer","23002f45-55b8-41b3-a95c-fce30a1e7c44","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-06T02:23:18Z,"wix:image://v1/06e28e_0c3ef93d314f438eb72a623abd8f89a5~mv2.jpg/046-Feathammer.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",4,"Creature","Rokah","{""V - Beyond Horizons"":""Common""}","This creature can attack without entering a battle zone.",,250,110
"Chworb and Chariot","236940a4-bf23-4f63-888d-773be3ab63c7","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:43:34Z,"wix:image://v1/c3c13c_50fc8684092f424ab708610360fbf937~mv2.jpg/3%2052%20-%20chworb%20&%20chariot.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",4,"Creature","Sindian","{""III - Galactic Divide"":""Common""}",,,290,70
"Boomanator","23b7ba09-f222-4e40-8d27-406b73fddd01","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-23T20:42:59Z,"wix:image://v1/c3c13c_55072ccf24864480958276eb0c73f5dd~mv2.jpg/010-Boomanator.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Baro Planetary Collection"",""III - Galactic Divide""]",5,"Creature","Baro","{""Baro Planetary Collection"":""Really Rare"",""III - Galactic Divide"":""Really Rare""}","Only once, you can permanently give 1 creature on your planet an extra 150 power.",,150,220
"Ihniwti","23f33126-2cb1-48d5-a21f-36585832d74d","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-23T20:45:33Z,"wix:image://v1/c3c13c_d005743fa23f40d8b7ee3f4a43c112c5~mv2.jpg/4%205%20-%20Ihniwti.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",5,"Creature","Teklar","{""IV - Planets United"":""Common""}","Only once, you can kill 1 of your handed or zoned creatures. This creature cannot be killed by your opponent's creatures from the same planet as that killed creature until 2 of their turns have finished.",,230,230
"Elite Sparki","240b7ef0-822f-42f6-99e8-9a647740140c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-23T20:44:10Z,"wix:image://v1/c3c13c_434994423d0945d4aacc2957acbd1978~mv2.jpg/D2%209%20Elite%20Sparki.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 2: The Infernos of Sheos""]",5,"Creature","Sheos","{""Base Galaxy 2: The Infernos of Sheos"":""Common""}","To cost play this creature, you must kill 1 Sparki from your hand or planet and pay 1 star (instead of paying 5 stars). This creature cannot be free played.",,310,240
